238999;Fix Line
23817;Gotanet
23842;Greenwave Mobile
23806;Hi3G
23828;LINK Mobility
23812;Lycamobile
23814;Monty Mobile
23807;Mundio Mobile
23804;Nexcon.io
23873;Onomondo
23830;Pareteum
23803;Syniverse Technologies
23810;TDC
23801;TDC
23877;Telenor
23802;Telenor
23820;Telia
23896;Telia
23830;Telia
23816;Tismi
23825;Viahub
23808;Voxbone / Bandwidth
63801;Djibouti Telecom SA / Evatis
366110;C & W
36620;Cingular Wireless/Digicel
36650;Wireless Ventures (Dominica) Ltd (Digicel Dominica)
37002;Claro
37001;Orange
37003;TRIcom
37004;Viva
514999;Fix Line
51401;Telin/ Telkomcel
51402;Timor Telecom
74001;Claro/Porta
74002;CNT Mobile
74000;Failed Call(s)
74000;MOVISTAR/OteCel
74003;Tuenti
60201;Orange/Mobinil
60203;ETISALAT
60202;Vodafone/Mirsfone
60204;WE/Telecom
70601;CLARO/CTE
70602;Digicel
70605;INTELFON SA de CV
70604;Telefonica
70603;Telemovil
62703;HiTs-GE
62701;ORANGE/GETESA
65701;Eritrea Telecommunication Services Corp. / Eritel
24801;EMT GSM
24802;Radiolinja Eesti
24803;Tele2 Eesti AS
24804;Top Connect OU
63601;Ethio Mobile
75001;Sure South Atlantic Ltd (Falkland Islands
28803;Edge Mobile Sp/F
28801;Faroese Telecom
28802;Kall GSM
54202;DigiCell
54201;Vodafone
24414;Alands
24426;Compatel Ltd
24403;DNA/Finnet
24412;DNA/Finnet
24413;DNA/Finnet
24404;DNA/Finnet
24421;Elisa/Saunalahti
24405;Elisa/Saunalahti
24482;ID-Mobile
24411;Mundio Mobile (Finland) Ltd
24409;Nokia Oyj
24410;TDC Oy Finland
24491;TeliaSonera
20827;AFONE SA
20892;Association Plate-forme Telecom
20828;Astrium
20888;Bouygues Telecom
20821;Bouygues Telecom
20820;Bouygues Telecom
208999;Fix Line
20814;Lliad/FREE Mobile
20807;GlobalStar
20806;GlobalStar
20805;GlobalStar
20829;Orange
20817;Legos - Local Exchange Global Operation Services SA
20816;Lliad/FREE Mobile
20815;Lliad/FREE Mobile
20825;Lycamobile SARL
20824;MobiquiThings
20803;MobiquiThings
20831;Mundio Mobile (France) Ltd
20826;NRJ
20889;Virgin Mobile/Omer
20823;Virgin Mobile/Omer
20891;Orange
20802;Orange
20801;Orange
20810;S.F.R.
20809;S.F.R.
20813;S.F.R.
20811;S.F.R.
20804;SISTEER
20800;Tel/Tel
20822;Transatel SA
34020;Bouygues/DigiCel
34001;Orange Caribe
34002;Outremer Telecom
34011;TelCell GSM
34003;TelCell GSM
